 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"C72   Neop mal med esp nerv cran out sist nerv cen";-;1181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1181
"C73   Neopl malig da gland tireoide";-;1011;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1011
"C74   Neopl malig da gland supra-renal";-;381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;381
"C75   Neopl malig outr gland endocrinas estr relac";-;321;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321
"C76   Neopl malig outr localiz e mal definidas";-;5188;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5188
"C77   Neopl malig secund e NE gangl linfaticos";-;171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;171
"C78   Neopl malig secund org respirat e digestivos";-;2318;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2318
"C79   Neopl malig secund de outr localiz";-;1497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1497
"C80   Neopl malig s/especificacao de localiz";-;6019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6019
"C81   Doenc de Hodgkin";-;601;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;601
"C82   Linfoma nao-Hodgkin folicular";-;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;218
"C83   Linfoma nao-Hodgkin difuso";-;880;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;880
"C84   Linfomas de celulas T cutaneas e perifericas";-;377;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;377
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;3310;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3310
"C88   Doenc imunoproliferativas malignas";-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66
"C90   Mieloma mult e neopl malig de plasmocitos";-;4120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4120
"C91   Leucemia linfoide";-;2181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2181
"C92   Leucemia mieloide";-;4062;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4062
"C93   Leucemia monocitica";-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71
"C94   Outr leucemias de celulas de tipo espec";-;171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;171
"C95   Leucemia de tipo celular NE";-;1332;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1332
