 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"W16   Merg pulo agua caus out traum n afog submers";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;39
"W17   Outr quedas de um nivel a outr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1104;1104
"W18   Outr quedas no mesmo nivel";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9778;9778
"W19   Queda s/especificacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2893;2893
"W20   Impacto caus objeto lanc projetado em queda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;517;517
"W21   Impacto acid ativo passivo caus equip esport";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"W22   Impacto acid ativo passivo caus outr objetos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;49
"W23   Apert colhid comprim esmag dentro objetos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;99
"W24   Contato elevadores instr de transm NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;20
"W25   Contato c/vidro cortante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;21
"W26   Contato c/faca espada e punhal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"W27   Contato c/ferramentas manuais s/motor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"W28   Contato segadeira mot p/cortar aparar grama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"W29   Contat out utens manuais ap domest equip mot";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10
"W30   Contato c/maquinaria agricola";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;72
"W31   Contato c/outr maquinas e c/as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;67
"W32   Projetil de revolver";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11
"W33   Rifle espingarda armas fogo de maior tamanho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;12
"W34   Projeteis de outr armas de fogo e das NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;157;157
"W35   Explosao ou ruptura de caldeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"W36   Explosao ou ruptura de cilindro de gas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;40
"W37   Explosao ruptura pneumat tubulac mang press";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;15
"W38   Explosao ruptura outr ap pressurizados espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"W39   Queima de fogos de artificio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;16
"W40   Explosao de outr materiais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;52
"W44   Penetr corpo estranho olho orificio natural";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;15
"W45   Penetracao corpo objeto estranho pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;24
"W49   Exposicao outr forcas mecan inanimadas e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;22
"W50   Golpe panc pontape mord escor infl outr pess";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11
"W51   Colis entre duas pessoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"W52   Esmag empurr pisot multidao deband massa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"W54   Mordedura ou golpe provocado p/cao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;58
"W55   Mordedura golpe provoc outr animais mamif";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113;113
"W57   Morded picadas inseto outr artrop n-venen";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;14
"W58   Mordedura golpe provoc crocodilo ou aligátor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"W59   Mordedura ou esmag provocado p/outr repteis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"W64   Exposicao outr forcas mecan animadas e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;23
"W65   Afogamento submersao durante banho banheira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;13
"W66   Afogamento submersao consec queda banheira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"W67   Afogamento e submersao em piscina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;181;181
"W68   Afogamento submersao conseq queda piscina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84;84
"W69   Afogamento e submersao em aguas naturais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2366;2366
"W70   Afogamento submersao conseq queda aguas nat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;668;668
"W73   Outr afogamentos e submersao espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;249;249
"W74   Afogamento e submersao NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1588;1588
"W75   Sufocacao e estrangulamento acid na cama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;58
"W76   Outr enforcamento e estrangulamento acid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;30
"W77   Risco resp dev desmor queda terra outr subst";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;77
"W78   Inalacao do conteudo gastrico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1818;1818
"W79   Inalacao ingest aliment caus obstr trat resp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2531;2531
"W80   Inalac ingest outr obj caus obstr trat resp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;142;142
"W81   Confinado aprision ambiente pobre oxigenio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;19
"W83   Outr riscos espec a respiracao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;27
"W84   Riscos NE a respiracao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2602;2602
"W85   Exposicao linhas transm de corrente eletrica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;141;141
"W86   Exposicao a outr corrente eletrica espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93;93
"W87   Exposicao a corrente eletrica NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1476;1476
"W89   Expos fontes lumin artif visiv luz ultraviol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"W90   Exposicao outr tipos radiacao nao-ionizante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"W91   Exposicao a tipo NE de radiacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"W92   Exposicao calor excessivo orig artificial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"W93   Exposicao frio excessivo orig artificial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"W94   Expos alta baixa variacoes pressao atmosf";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"W99   Exposicao outr fatores ambient artif e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"X00   Expos fogo n-contr edificio outr tipo constr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;137;137
"X01   Expos fogo n-contr fora edif out tipo constr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;18
"X02   Exposicao fogo contr edif outr tipo constr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;22
"X03   Expos fogo contr fora edif outr tipo constr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"X04   Exposicao combustao subst muito inflamavel";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;125
"X05   Exposicao a combustao de roupa de dormir";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"X06   Exposicao combustao outr tipo roupa acessor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"X08   Exposicao outr tipo espec fumaca fogo chamas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;72
"X09   Exposicao a tipo NE de fumaca fogo chamas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;625;625
"X10   Contato bebid alim gord oleo cozinha quentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;16
"X11   Contato c/agua corrente quente de torneira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"X12   Contato c/outr liquidos quentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;28
"X13   Contato c/vapor dagua e c/vapores quentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"X14   Contato c/ar e gases quentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"X15   Contato c/aparelhos domesticos quentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"X17   Contato motores maquinas ferramentas quentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"X18   Contato c/outr metais quentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"X19   Contato outr fontes calor subst quentes NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;17
"X20   Contato c/serpentes e lagartos venenosos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96;96
"X21   Contato c/aranhas venenosas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;35
"X22   Contato c/escorpioes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;22
"X23   Contato c/abelhas vespas e vespoes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;167;167
"X24   Contato c/centopeias e miriapodes venenosas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"X25   Contato c/outr artropodes venenosos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"X27   Contato c/outr animais venenosos espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"X29   Contato animais ou plantas venenosos s/espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;50
"X30   Exposicao a calor natural excessivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"X31   Exposicao a frio natural excessivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"X32   Exposicao a luz solar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"X33   Vitima de raio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;33
"X36   Vitima avalanc desab terra out mov sup terr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126;126
"X37   Vitima de tempestade cataclismica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112;112
"X38   Vitima de inundacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"X39   Exposicao a outr forcas da natureza e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"X40   Envenen acid analg antipir anti-reum n-opiac";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"X41   Env ac anticon sed hipn antipark psicot NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65;65
"X42   Envenen acid narcot psicodislepticos NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;492;492
"X43   Envenen acid outr subst farm sist nerv auton";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"X44   Envenen acid outr drog medic subst biolog NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89;89
"X45   Envenen acid p/e exposicao ao alcool";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;77
"X46   Envenen acid solv org hidrocarb halog vapor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;34
"X47   Intox acid outr gases e vapores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;36
"X48   Envenen acid p/e exposicao a pesticidas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;32
"X49   Envenen acid outr subst quim nocivas e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175;175
"X50   Excesso exerc movim vigorosos ou repetitivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"X51   Viagem e movimento";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"X52   Estadia prolongada ambiente agravitacional";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"X54   Falta de agua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"X58   Exposicao a outr fatores espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;21
"X59   Exposicao a fatores NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2741;2741
"X60   Auto-int int analg antipir anti-reum n-opiac";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;21
"X61   Auto-int int a-conv sed hip a-park psic NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;333;333
"X62   Auto-intox intenc narcot psicodislept NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;142;142
"X63   Auto-int int outr subst farm sist nerv auton";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;23
"X64   Auto-int intenc out drog med subst biolog NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;861;861
"X65   Auto-intox voluntaria p/alcool";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;82
"X66   Auto-int int solv org hidrocarb halog vapor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;15
"X67   Auto-intox intenc p/outr gases e vapores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;45
"X68   Auto-intox intenc a pesticidas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;388;388
"X69   Auto-int intenc outr prod quim subst noc NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;265;265
"X70   Lesao autoprov intenc enforc estrang sufoc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11706;11706
"X71   Lesao autoprov intenc p/afogamento submersao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;147
"X72   Lesao autoprov intenc disp arma fogo de mao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305;305
"X73   Les autoprov int disp arm fog maior calibre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;21
"X74   Lesao autopr intenc disp outr arma fogo e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;781;781
"X75   Lesao autoprov intenc p/disp explosivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"X76   Lesao autoprov intenc fumaca fogo e chamas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;230;230
"X77   Lesao autopr int vapor agua gas  obj quent";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"X78   Lesao autoprov intenc obj cortante  penetr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;272;272
"X79   Lesao autoprov intenc p/objeto contundente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;50
"X80   Lesao autoprov intenc precip lugar elevado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;603;603
"X81   Lesao autoprov intenc precip perm obj movim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;38
"X82   Lesao autoprov intenc impacto veic a motor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;75
"X83   Lesao autoprov intenc p/outr meios espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;27
"X84   Lesao autoprov intenc p/meios NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;307;307
"X85   Agressao meio drog medic e subst biologicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11
"X87   Agressao p/pesticidas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"X88   Agressao p/meio de gases e vapores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"X89   Agressao outr prod quim subst nocivas espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"X90   Agressao prod quimicos e subst nocivas NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;28
"X91   Agressao enforc estrangulamento sufocacao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;625;625
"X92   Agressao p/meio de afogamento e submersao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;60
"X93   Agressao disparo de arma de fogo de mao";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3666;3666
"X94   Agressao disparo arma fogo de maior calibre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;132
"X95   Agressao disparo outr arma de fogo ou NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23625;23625
"X96   Agressao p/meio de material explosivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11
"X97   Agressao p/meio de fumaca fogo e chamas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;209;209
"X98   Agressao vapor agua gases ou objetos quentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"X99   Agressao objeto cortante ou penetrante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6431;6431
"Y00   Agressao p/meio de um objeto contundente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2164;2164
"Y01   Agressao p/meio projecao de um lugar elevado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;16
"Y02   Agressao proj coloc vitima obj movimento";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"Y03   Agressao p/meio de impacto veic a motor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;82
"Y04   Agressao p/meio de forca corporal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1167;1167
"Y05   Agressao sexual p/meio de forca fisica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;21
"Y06   Negligencia e abandono";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;18
"Y07   Outr sindr de maus tratos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;47
"Y08   Agressao p/outr meios espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;111;111
"Y09   Agressao p/meios NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1498;1498
"Y10   Env analg antipir antireum n-opiac int n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"Y11   Env antic sed hipn antip psic NCOP int n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;49
"Y12   Envenen narcot psicodislept NCOP int n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;147
"Y13   Env out subst farm sist nerv auton int n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"Y14   Env out drog med subst biolog e NE int n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;161;161
"Y15   Envenen alcool intencao nao determinada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;72
"Y16   Env solv org hidrocarb halog vap int n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"Y17   Envenen outr gases vapores intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;17
"Y18   Envenen pesticidas intencao nao determinada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;44
"Y19   Env out prod quim subst noc e NE int n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;264;264
"Y20   Enforc estrang sufoc intenc nao determinada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1054;1054
"Y21   Afogamento submersao intenc nao determinada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;291;291
"Y22   Disparo de pistola intencao nao determinada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"Y23   Disparo arma fogo maior calibre intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11
"Y24   Disparo outr arma fogo e NE intenc nao det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1063;1063
"Y25   Contato c/material explosivo intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"Y26   Exposicao fumaca fogo chamas intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325;325
"Y27   Exposic vapor agua gas obj quente int n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;12
"Y28   Contato obj cortante penetrante intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;529;529
"Y29   Contato obj contundente intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2854;2854
"Y30   Queda salto empurr lugar elev intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248;248
"Y31   Queda perman corrida obj mov intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"Y32   Impacto veic a motor intenc nao determinada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;39
"Y33   Outr fatos ou eventos espec intenc n det";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94;94
"Y34   Fatos ou eventos NE e intenc nao determinada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9901;9901
"Y35   Intervencao legal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2644;2644
"Y40   Antibioticos sistemicos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
"Y41   Outr antiinfecc e antiparasit sistemicos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"Y42   Hormonios subst sintet antagonistas NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
"Y43   Subst de acao prim sistemica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;16
"Y44   Subst farm atuam prim s/constit sangue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;34
"Y45   Subst analges antipiret e antiinflamatorias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;20
"Y47   Sedativos hipnoticos e tranquilizantes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Y48   Anestesicos e gases terapeuticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"Y49   Subst psicotropicas NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"Y51   Drogas que atuam prim s/sist nerv auton";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"Y52   Subst que atuam prim aparelho cardiovascular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Y53   Subst que atuam prim aparelho gastrointest";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Y54   Subst atuam prim metab agua sais min ac uric";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Y56   Subst topic pele membr muc uso oft otor dent";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Y57   Outr drogas e medicamentos e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;50
"Y58   Vacinas bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Y59   Outr vacinas e subst biologicas e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"Y60   Cort punc perf hemorr acid cuid med cirurg";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;22
"Y63   Erros dosagem prest cuidados med e cirurg";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Y65   Outr acid durante prest cuid medic cirurg";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"Y70   Disp anestesiologia assoc incid adversos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"Y71   Disp cardiovasculares assoc incid adversos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
"Y73   Disp usados gastroent urolog assoc incid adv";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"Y74   Disp gerais uso hosp pessoal assoc incid adv";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
"Y79   Disp ortopedicos assoc a incidentes adversos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"Y81   Disp util cirurg geral plast assoc incid adv";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"Y82   Outr disp assoc incidentes adversos e os NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
"Y83   Reac anorm compl tard interv cirurg s/acid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1953;1953
"Y84   Reac anorm compl tard out proc med s/acid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;210;210
"Y85   Sequelas de acid transp";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;152;152
"Y86   Sequelas de outr acid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176;176
"Y87   Seq lesao autopr inten agress fato int indet";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;106
